DATE      	AVG TMP        	REFERENCE ET   	PRECIPITATION  
YYYY-MM-DD	C              	mm/day         	MM             
1984-01-01	-5.50          	0.686          	10.00          
1984-01-02	-3.25          	0.529          	0.00           
1984-01-03	-1.50          	0.510          	0.00           
1984-01-04	-0.50          	0.595          	0.00           
1984-01-05	1.50           	0.507          	0.00           
1984-01-06	2.00           	0.526          	0.00           
1984-01-07	0.50           	0.606          	0.00           
1984-01-08	-4.50          	0.608          	0.00           
1984-01-09	-4.00          	0.590          	0.00           
1984-01-10	-0.75          	0.663          	0.00           
1984-01-11	-3.25          	0.894          	7.00           
1984-01-12	-9.50          	0.782          	0.00           
1984-01-13	-8.75          	0.472          	0.00           
1984-01-14	-4.25          	0.539          	2.00           
1984-01-15	-5.00          	0.698          	0.00           
1984-01-16	-10.00         	0.428          	0.00           
1984-01-17	-5.75          	0.546          	1.00           
1984-01-18	-5.00          	0.437          	0.00           
1984-01-19	-5.25          	0.550          	13.00          
1984-01-20	-13.00         	0.666          	0.00           
1984-01-21	-15.50         	0.465          	0.00           
1984-01-22	-17.00         	0.498          	0.00           
1984-01-23	-11.25         	0.759          	0.00           
1984-01-24	-5.25          	1.013          	8.00           
1984-01-25	2.25           	0.910          	7.00           
1984-01-26	2.50           	1.170          	0.00           
1984-01-27	2.75           	1.340          	0.00           
1984-01-28	1.25           	1.337          	0.00           
1984-01-29	-3.00          	0.523          	0.00           
1984-01-30	-1.50          	0.634          	2.00           
1984-01-31	-1.50          	0.743          	4.00           
1984-02-01	-7.00          	0.749          	0.00           
1984-02-02	-6.50          	0.888          	0.00           
1984-02-03	-1.50          	1.359          	0.00           
1984-02-04	3.75           	0.871          	5.00           
1984-02-05	1.75           	0.847          	0.00           
1984-02-06	-1.75          	0.759          	0.00           
1984-02-07	-3.50          	0.839          	0.00           
1984-02-08	-5.25          	0.935          	0.00           
1984-02-09	-1.50          	1.201          	0.00           
1984-02-10	1.75           	1.438          	0.00           
1984-02-11	3.75           	1.142          	5.00           
1984-02-12	4.25           	0.885          	4.00           
1984-02-13	4.50           	0.790          	0.00           
1984-02-14	8.25           	1.449          	9.00           
1984-02-15	10.50          	1.380          	30.00          
1984-02-16	9.25           	1.580          	5.00           
1984-02-17	7.25           	0.830          	0.00           
1984-02-18	7.75           	1.208          	2.00           
1984-02-19	8.25           	1.543          	0.00           
1984-02-20	6.50           	1.291          	2.00           
1984-02-21	3.25           	1.480          	0.00           
1984-02-22	3.25           	1.666          	0.00           
1984-02-23	4.50           	1.347          	0.00           
1984-02-24	8.75           	2.178          	31.00          
1984-02-25	9.25           	2.194          	0.00           
1984-02-26	0.25           	1.439          	3.00           
1984-02-27	-0.50          	0.972          	0.00           
1984-02-28	0.50           	0.757          	8.00           
